time,catalogue_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,user_9,user_10,orders_11,payment_12,orders_13,shipping_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,front-end_20,front-end_21,catalogue_22,front-end_23,payment_24,front-end_25,user_26,front-end_27,front-end_28,user_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,catalogue_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,user_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,front-end_48,carts_49,user-db_50,payment_51,payment_52,orders_53,orders_54,front-end_55,front-end_56
1705769715,8,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,6,6,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,8,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
1705769730,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,20,20,20,20,20,20,20,20,20,23,0,0,0,0,0,0,0
1705769745,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
1705769760,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,46,0,0,0,0,0,0,0
1705769775,10,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,14,14,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0
1705769790,10,20,80,60,20,20,20,20,20,20,21,21,21,21,21,21,63,63,21,42,21,14,14,10,17,17,17,17,17,17,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,69,0,0,0,0,0,0,0
1705769805,10,15,60,45,15,15,15,15,15,15,15,14,14,14,14,14,42,42,14,28,14,20,20,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,10,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0
1705769820,10,12,48,36,12,12,12,12,12,12,12,13,13,13,13,13,39,39,13,26,13,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0
1705769835,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,9,9,10,19,19,19,19,19,19,19,18,18,18,18,18,18,18,10,17,17,17,17,17,17,17,17,17,23,0,0,0,0,0,0,0
1705769850,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,19,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,10,11,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0,0
