POD,NODE_NAME
carts-795df7fd79-6bk2l,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
carts-db-5d88c7dddc-jd77k,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
catalogue-6999fd64d9-dxl9f,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
catalogue-db-554cbfd749-hd5sz,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
front-end-75b898f665-pj27d,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
loadgenerator-564d55cfcb-skckf,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
orders-688f957476-hfk7c,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
orders-db-7c75b66575-gxz8x,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
payment-766c44b5dc-vtr6f,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
queue-master-5f47847cd-79qmt,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
rabbitmq-5dcbdd5997-xpq6d,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
session-db-6f9cdc9746-288l6,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
shipping-6d4449fd75-gcj8h,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
user-77c9d4d7cf-dqgpn,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
user-db-57c446cdbc-rhsc6,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
