time,payment_1,front-end_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,orders_11,user_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,catalogue_23,front-end_24,front-end_25,front-end_26,catalogue_27,front-end_28,catalogue_29,front-end_30,user_31,front-end_32,front-end_33,front-end_34,front-end_35,front-end_36,front-end_37,front-end_38,orders_39,orders_40,orders_41,orders_42,orders_43,orders_44,orders_45,orders_46,orders_47,orders_48,orders-db_49,orders_50,orders_51,orders_52,orders_53,orders_54,orders_55,orders_56,orders_57,orders_58,orders_59,orders_60,orders_61,orders_62,orders_63,orders_64,orders_65,orders_66,orders_67,user_68,user-db_69,user_70,orders_71,payment_72,orders_73,shipping_74,queue-master_75,queue-master_76,queue-master_77,queue-master_78,queue-master_79,orders_80,front-end_81,carts_82,user_83,user_84,user_85
1705824255,8,116,58,57,171,171,57,57,57,57,2,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,8,9,9,9,9,9,9,9,9,9,1,1,1,1,1,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824270,10,62,31,31,93,93,31,31,31,31,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,22,22,10,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824285,10,78,39,39,117,117,39,39,39,39,0,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,11,11,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,2,2,2,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824300,10,56,5,28,107,84,28,28,28,28,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,10,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,23,1,23,23,23,23,23,23,23,69,69,23,28,23,23,0,0,0
1705824315,10,20,0,10,40,30,10,10,10,10,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,18,10,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,10,10,10,10,30,30,10,0,10,0,0,0,0
1705824330,10,26,0,13,52,39,13,13,13,13,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,13,13,13,13,13,13,39,39,13,0,13,46,0,0,0
1705824345,10,42,0,21,84,63,21,21,21,21,0,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,21,21,21,21,21,21,63,63,21,0,21,46,0,0,0
1705824360,10,32,0,16,64,48,16,16,16,16,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,17,10,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,16,16,48,48,16,0,16,0,0,0,0
1705824375,10,20,0,10,40,30,10,10,10,10,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,10,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,10,10,10,10,30,30,10,0,10,0,0,0,0
1705824390,10,32,0,16,64,48,16,16,16,16,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,16,16,48,48,16,0,16,46,0,0,0
