POD,NODE_NAME
carts-795df7fd79-h6tqg,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
carts-db-5d88c7dddc-gb7rx,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
catalogue-6999fd64d9-lpmlr,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
catalogue-db-554cbfd749-8w885,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
front-end-75b898f665-d4thd,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
loadgenerator-564d55cfcb-w4bpm,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
orders-688f957476-sc44w,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
orders-db-7c75b66575-2mmzw,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
payment-766c44b5dc-tb5d4,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
queue-master-5f47847cd-8ztgt,gke-gke-cluster-ss-default-pool-aa4d7ed2-vh5c
rabbitmq-5dcbdd5997-v7j6h,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
session-db-6f9cdc9746-gzzjh,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
shipping-6d4449fd75-6jfc4,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
user-77c9d4d7cf-8xx9q,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
user-db-57c446cdbc-8g7vs,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
