time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,user_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,catalogue_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,catalogue_24,catalogue_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,user_34,user_35,orders_36,payment_37,orders_38,shipping_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,front-end_45,front-end_46,payment_47,user_48,carts_49,user-db_50,carts_51,orders_52,orders_53,orders_54,orders-db_55,orders-db_56,orders_57,orders_58,orders_59,orders_60,orders_61,front-end_62,front-end_63,user-db_64
1705757820,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,8,14,14,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757835,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757850,11,11,11,11,11,11,11,14,14,11,14,14,14,11,11,11,11,11,14,14,14,14,11,10,21,21,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757865,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757880,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757895,17,17,17,17,17,17,17,16,16,17,16,16,16,17,17,17,17,17,16,16,16,16,17,10,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757910,12,12,12,12,12,12,12,10,10,12,10,10,10,12,12,12,12,12,10,10,10,10,12,10,22,22,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757925,13,13,13,13,13,13,13,21,21,13,21,21,21,13,13,13,13,13,21,21,21,21,13,10,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757940,19,19,19,19,19,19,19,11,11,19,11,11,11,19,19,19,19,19,11,11,11,11,19,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757955,17,17,17,17,17,17,17,15,15,17,15,15,15,17,17,17,17,17,15,15,15,15,17,10,21,21,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757970,12,12,12,12,12,12,12,15,15,12,15,15,15,12,12,12,12,12,15,15,15,15,12,10,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705757985,16,16,16,16,16,16,16,21,21,16,21,21,21,16,16,16,16,16,21,21,21,21,16,10,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758000,18,18,18,18,18,18,18,15,15,18,15,15,15,18,18,18,18,18,15,15,15,15,18,10,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758015,14,14,14,14,14,14,14,10,10,14,10,10,10,14,14,14,14,14,10,10,10,10,13,10,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758030,13,13,13,13,13,13,13,16,16,13,16,16,16,13,13,13,13,13,16,16,16,16,14,10,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758045,16,15,15,15,15,15,15,16,16,15,16,16,16,15,15,15,15,15,16,16,16,16,15,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758060,19,20,20,20,20,20,20,18,18,20,18,18,18,20,20,20,20,20,18,18,18,18,20,10,16,16,18,71,54,18,18,18,18,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758075,15,14,14,14,14,14,14,15,15,14,15,15,15,14,14,14,14,14,15,15,15,15,14,10,18,18,16,65,48,16,16,16,16,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758090,14,15,15,15,15,15,15,14,14,15,14,14,14,15,15,15,14,14,14,14,14,14,14,10,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758105,14,14,14,14,14,14,14,16,16,14,16,16,16,14,14,14,15,15,16,16,16,16,15,10,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758120,17,17,17,17,17,17,17,15,15,17,15,15,15,17,17,17,17,17,15,15,15,15,17,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758135,15,15,15,15,15,15,15,14,14,15,14,14,14,15,15,15,15,15,14,14,14,14,15,10,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758150,14,14,14,14,14,14,14,16,16,14,16,16,16,14,14,14,14,14,16,16,16,16,14,10,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758165,18,18,18,18,18,18,18,16,16,18,16,16,16,18,18,18,18,18,16,16,16,16,18,10,15,15,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758180,16,16,16,16,16,16,16,19,19,16,19,19,19,16,16,16,16,16,19,19,19,19,16,10,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758195,16,16,16,16,16,16,16,18,18,16,18,18,18,16,16,16,16,16,18,18,18,18,16,10,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758210,16,16,16,16,16,16,16,11,11,16,11,11,11,16,16,16,16,16,11,11,11,11,16,10,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758225,14,14,14,14,14,14,14,15,15,14,15,15,15,14,14,14,14,14,15,15,15,15,14,10,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758240,20,20,20,20,20,20,20,18,18,20,18,18,18,20,20,20,20,20,18,18,18,18,20,10,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758255,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,21,21,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758270,18,18,18,18,18,18,18,27,27,18,27,27,27,18,18,18,18,18,26,26,26,26,18,10,13,13,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758285,21,21,21,21,21,21,21,13,13,21,13,13,13,21,21,21,21,21,14,14,14,14,21,10,9,9,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758300,13,13,13,13,13,13,13,12,12,13,12,12,12,13,13,13,13,13,12,12,12,12,13,10,24,24,21,84,63,21,21,21,21,21,21,20,20,20,20,20,20,60,60,20,40,20,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758315,11,11,11,11,11,11,11,9,9,11,9,9,9,11,11,11,11,11,9,9,9,9,11,10,16,16,9,36,27,9,9,9,9,9,9,10,10,10,10,10,10,30,30,10,20,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758330,15,15,15,15,15,15,15,19,19,15,19,19,19,15,15,15,15,15,19,19,19,19,15,10,11,11,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758345,16,16,16,16,16,16,16,18,18,16,18,18,18,16,16,16,16,16,18,18,18,18,16,10,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758360,15,15,15,15,15,15,15,12,12,15,12,12,12,15,15,15,15,15,12,12,12,12,15,10,21,21,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758375,15,15,15,15,15,15,15,19,19,15,19,19,19,15,15,15,15,15,19,19,19,19,15,10,14,14,16,63,47,16,16,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758390,15,15,15,15,15,15,15,17,17,15,17,17,17,15,15,15,15,15,17,17,17,17,15,10,14,14,15,61,46,15,15,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
