time,payment_1,catalogue_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,catalogue_8,front-end_9,front-end_10,front-end_11,user_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,user_20,front-end_21,front-end_22,user_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,user_31,user_32,catalogue_33,front-end_34,front-end_35,front-end_36,front-end_37,orders_38,orders_39,payment_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,user-db_50,carts_51,orders-db_52,user_53
1705648290,4,3,3,3,3,5,3,3,3,3,8,8,8,8,8,3,3,3,3,3,3,3,4,3,12,9,3,3,3,3,3,3,2,4,4,4,4,3,3,3,3,3,3,9,9,3,6,3,0,0,0,0,0
1705648305,10,17,17,16,16,14,16,16,16,16,12,12,12,12,12,15,15,15,15,15,15,15,10,15,60,45,15,15,15,15,15,15,10,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0
1705648320,10,12,12,11,11,15,11,11,11,11,12,12,12,12,12,10,10,10,10,10,10,10,10,17,68,51,17,17,17,17,17,17,10,13,13,13,13,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0
1705648335,10,20,20,17,17,14,17,17,17,17,18,18,18,18,18,17,17,17,17,17,17,17,10,11,44,33,11,11,11,11,11,11,10,17,17,17,17,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0
1705648350,10,10,10,13,13,11,13,13,13,13,14,14,14,14,14,16,16,16,16,16,16,16,10,13,52,39,13,13,13,13,13,13,10,15,15,15,15,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0
1705648365,10,10,10,16,16,14,16,16,16,16,13,13,13,13,13,15,15,15,15,15,15,15,10,11,44,33,11,11,11,11,11,11,10,11,11,11,11,10,10,10,10,10,10,30,30,10,20,10,23,0,0,0,0
1705648380,10,13,13,10,10,17,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,10,14,56,42,14,14,14,14,14,14,10,12,12,12,12,16,16,16,16,16,16,48,48,16,32,16,23,0,0,0,0
1705648395,10,17,17,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,17,68,51,17,17,17,17,17,17,10,12,12,12,12,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0
1705648410,10,14,14,13,13,15,13,13,13,13,14,14,14,14,14,13,13,13,13,13,13,13,10,12,48,36,12,12,12,12,12,12,10,15,15,15,15,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0
1705648425,10,16,16,11,11,12,11,11,11,11,17,17,17,17,17,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,10,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0
1705648440,10,11,11,16,16,10,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,10,10,40,30,10,10,10,10,10,10,10,15,15,15,15,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0
1705648455,10,9,9,14,14,16,14,14,14,14,13,13,13,13,13,16,16,16,16,16,16,16,10,14,56,42,14,14,14,14,14,14,10,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0
1705648470,10,15,15,15,15,18,15,15,15,15,9,9,9,9,9,14,14,14,14,14,14,14,10,17,68,51,17,17,17,17,17,17,10,8,8,8,8,18,18,18,18,18,18,54,54,18,36,18,46,0,0,0,0
1705648485,10,17,17,9,9,11,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,10,13,52,39,13,13,13,13,13,13,10,12,12,12,12,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0
1705648500,10,12,12,12,12,11,12,12,12,12,15,15,15,15,15,13,13,13,13,13,13,13,10,11,44,33,11,11,11,11,11,11,10,15,15,15,15,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0,0
1705648515,10,13,13,13,13,9,13,13,13,13,23,23,23,23,23,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,10,16,16,16,16,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0
1705648530,10,13,13,18,18,13,18,18,18,18,13,13,13,13,13,13,13,13,13,13,13,13,10,9,36,27,9,9,9,9,9,9,10,16,16,16,16,11,11,11,11,11,11,33,33,11,22,11,69,0,0,0,0
1705648545,10,6,6,13,13,19,13,13,13,13,7,7,7,7,7,14,14,14,14,14,14,14,10,9,36,27,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0
1705648560,10,15,15,12,12,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,10,21,84,63,21,21,21,21,21,21,10,13,13,13,13,20,20,20,20,20,20,60,60,20,40,20,23,0,0,0,0
1705648575,10,19,19,10,10,15,10,10,10,10,12,12,12,12,12,9,9,9,9,9,9,9,10,15,60,45,15,15,15,15,15,15,10,13,13,13,13,16,16,16,16,16,16,48,48,16,32,16,23,0,0,0,0
1705648590,10,14,14,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,11,44,33,11,11,11,11,11,11,10,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0,0
1705648605,10,10,10,14,14,7,14,14,14,14,21,21,21,21,21,22,22,22,22,22,22,22,10,10,40,30,10,10,10,10,10,10,10,17,17,17,17,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0
1705648620,10,8,8,15,15,16,15,15,15,15,10,10,10,10,10,9,9,9,9,9,9,9,10,8,32,24,8,8,8,8,8,8,10,13,13,13,13,8,8,8,8,8,8,24,24,8,16,8,0,0,0,0,0
1705648635,10,12,12,15,15,20,15,15,15,15,8,8,8,8,8,14,14,14,14,14,14,14,10,18,72,54,18,18,18,18,18,18,10,7,7,7,7,19,19,19,19,19,19,57,57,19,38,19,0,0,0,0,0
1705648650,10,20,20,12,12,13,12,12,12,12,15,15,15,15,15,11,11,11,11,11,11,11,10,19,76,57,19,19,19,19,19,19,10,17,17,17,17,19,19,19,19,19,19,57,57,19,38,19,0,0,0,0,0
1705648665,10,16,16,12,12,9,12,12,12,12,18,18,18,18,18,14,14,14,14,14,14,13,10,13,52,39,13,13,13,13,13,13,10,15,15,15,15,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0
1705648680,10,12,12,15,15,18,15,15,15,15,8,8,8,8,8,13,13,13,13,13,13,14,10,11,44,33,11,11,11,11,11,11,10,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0,0
