time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,catalogue_15,front-end_16,user_17,front-end_18,user_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,user_25,user_26,orders_27,payment_28,orders_29,shipping_30,queue-master_31,queue-master_32,queue-master_33,queue-master_34,queue-master_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,user_49,carts_50,user_51,user_52
1705762965,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,6,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,5,5,5,5,5,5,5,5,5,4,4,0,0,0,0
1705762980,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,10,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0
1705762995,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,8,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0
1705763010,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,10,12,48,36,12,12,12,12,12,11,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,10,10,1,0,0,0
1705763025,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,10,10,0,23,0,0
1705763040,20,20,20,20,20,20,20,20,20,20,20,20,20,19,13,13,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,20,20,20,20,20,20,20,20,20,10,10,0,23,0,0
1705763055,18,18,18,18,18,18,18,18,18,18,18,18,18,19,20,20,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,10,10,0,46,0,0
1705763070,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0
1705763085,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,10,10,0,69,0,0
1705763100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,22,22,22,22,22,22,22,22,22,10,10,0,0,0,0
1705763115,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,10,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,13,13,13,13,13,13,13,13,13,10,10,0,23,0,0
1705763130,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,10,10,0,46,0,0
1705763145,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0
1705763160,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,10,10,0,23,0,0
1705763175,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16,16,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,10,10,0,23,0,0
1705763190,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,23,23,23,23,23,23,23,23,23,10,10,0,0,0,0
1705763205,17,17,17,17,17,17,17,17,17,17,17,17,17,17,12,12,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,11,11,11,11,11,11,11,11,11,10,10,0,69,0,0
1705763220,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,10,10,0,23,0,0
1705763235,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,12,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0
