time,catalogue_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,payment_11,front-end_12,user_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,catalogue_22,front-end_23,front-end_24,front-end_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,user_34,orders_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,front-end_44,front-end_45,user_46,catalogue_47,front-end_48,carts_49,user_50,user_51
1705764555,4,11,11,11,11,11,11,11,11,11,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,4,6,6,0,0,0
1705764570,10,11,11,11,11,11,11,11,11,11,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,0,0,0
1705764585,10,13,13,13,13,13,13,13,13,13,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,0,0,0
1705764600,10,13,13,13,13,13,13,13,13,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,15,15,0,0,0
1705764615,10,21,21,21,21,21,21,21,21,21,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,0,0,0
1705764630,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,10,17,17,23,0,0
1705764645,10,15,15,15,15,15,15,15,15,15,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,18,18,0,0,0
1705764660,10,19,19,19,19,19,19,19,19,19,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,56,42,14,14,14,14,14,14,14,13,13,13,13,13,39,39,13,26,13,10,12,12,0,0,0
1705764675,10,16,16,16,16,16,16,16,16,16,10,17,17,17,17,17,17,16,16,16,16,16,16,16,16,19,76,57,19,19,19,19,19,19,19,20,20,20,20,20,60,60,20,40,20,10,16,16,0,0,0
1705764690,10,14,14,14,14,14,14,14,14,14,10,15,15,15,15,15,15,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,0,0,0
