time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,carts_32,payment_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,catalogue_44,front-end_45,front-end_46,front-end_47,user_48,catalogue_49,user_50
1705779510,4,4,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,3,3,3,3,3,3,3,3,3,23,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,0
1705779525,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,23,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,0
1705779540,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,19,19,19,23,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,0
1705779555,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0
1705779570,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,11,11,11,11,11,11,11,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0
1705779585,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,19,19,19,18,18,18,18,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705779600,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,18,18,18,18,23,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,0
1705779615,19,19,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,12,12,12,12,12,12,12,12,12,23,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,0
1705779630,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,11,11,11,11,11,11,11,11,11,0,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,0
1705779645,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,20,20,20,20,20,20,20,20,20,23,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0
1705779660,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,0,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,0
1705779675,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,16,16,16,16,16,16,16,46,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,0
1705779690,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,0,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,0
