time,catalogue_1,front-end_2,front-end_3,front-end_4,front-end_5,catalogue_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,orders_14,payment_15,orders_16,shipping_17,queue-master_18,queue-master_19,queue-master_20,queue-master_21,queue-master_22,front-end_23,front-end_24,front-end_25,user_26,front-end_27,front-end_28,front-end_29,payment_30,user_31,front-end_32,front-end_33,user_34,front-end_35,front-end_36,user_37,front-end_38,front-end_39,front-end_40,user_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,user_47,user_48,carts_49,user_50,user_51,user-db_52
1705655505,4,7,7,7,7,5,5,4,4,4,4,4,4,4,4,4,4,4,4,12,12,4,8,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,4,3,1,1,1,1,1,1,0,0,0,0
1705655520,10,12,12,12,12,10,10,16,16,16,16,16,16,10,10,10,10,10,10,30,30,10,20,10,12,12,12,12,12,10,10,15,15,15,15,15,15,15,15,9,36,27,9,9,9,9,9,9,0,0,0,0
1705655535,10,13,13,13,13,14,14,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,14,14,14,14,14,10,10,13,12,12,12,12,12,12,12,11,44,33,11,11,11,11,11,11,23,0,0,0
1705655550,10,12,12,12,12,10,10,11,11,11,11,11,11,13,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,10,9,11,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,0,1,0,0
1705655565,10,11,11,11,11,13,13,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,11,11,11,11,11,10,10,14,10,10,10,10,10,10,10,12,48,36,12,12,12,12,12,12,0,0,0,0
1705655580,10,12,12,12,12,14,14,11,11,11,11,11,11,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,10,10,11,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,0,0,0,0
1705655595,10,14,14,14,14,13,13,13,13,13,13,13,13,10,10,10,10,10,10,30,30,10,20,10,13,13,13,13,13,10,10,14,11,11,11,11,11,11,11,8,32,24,8,8,8,8,8,8,46,0,0,0
1705655610,10,12,12,12,12,11,11,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,10,10,10,10,10,10,10,15,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,0,0,0,0
1705655625,10,13,13,13,13,16,16,12,12,12,12,12,12,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,10,10,11,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,0,0,0,0
1705655640,10,11,11,11,11,15,15,13,13,13,13,13,13,9,9,9,9,9,9,27,27,9,18,9,17,17,17,17,17,10,10,9,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,0,0,0,0
