time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,front-end_21,user_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,user_31,front-end_32,front-end_33,user_34,front-end_35,catalogue_36,front-end_37,front-end_38,front-end_39,front-end_40,catalogue_41,front-end_42,front-end_43,front-end_44,payment_45,catalogue_46,front-end_47,user_48,carts_49,user_50,user_51,user-db_52,user_53
1705791510,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,16,16,16,16,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,8,13,13,8,0,0,0,0,0
1705791525,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,10,21,21,21,21,21,21,21,21,10,13,13,10,0,0,0,0,0
1705791540,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,18,18,10,0,0,0,0,0
1705791555,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,10,17,17,10,0,0,0,0,0
1705791570,11,41,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,10,21,21,21,21,21,21,21,21,10,15,15,10,46,0,0,0,0
1705791585,19,79,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,10,19,19,19,19,19,19,19,19,10,12,12,10,69,0,0,0,0
1705791600,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,21,21,10,0,0,0,0,0
1705791615,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,11,11,11,11,11,11,10,11,11,11,11,11,11,11,10,10,14,14,10,69,0,0,0,0
1705791630,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,21,21,21,21,21,21,10,21,21,21,21,21,21,21,22,10,15,15,10,23,0,0,0,0
1705791645,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10,16,16,10,0,0,0,0,0
