time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,user_23,front-end_24,user_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,catalogue_34,front-end_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49,user_50,user_51,orders-db_52,user-db_53
1705793100,7,7,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,6,4,23,0,0,0,0
1705793115,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705793130,21,21,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0
1705793145,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,10,10,0,0,0,0,0
1705793160,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705793175,21,21,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,13,13,13,13,10,10,0,0,0,0,0
1705793190,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,17,17,17,18,18,18,18,10,10,23,0,0,0,0
1705793205,12,12,18,72,54,18,18,18,18,18,17,18,18,18,18,18,18,54,54,18,36,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,10,10,46,1,0,0,0
1705793220,19,19,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0
1705793235,15,15,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0
