time,catalogue_1,catalogue_2,front-end_3,payment_4,front-end_5,user_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,user_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,user_22,user_23,orders_24,payment_25,orders_26,shipping_27,queue-master_28,queue-master_29,queue-master_30,queue-master_31,queue-master_32,front-end_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user-db_50,user-db_51,user-db_52,user-db_53,user-db_54,user-db_55,user-db_56,user-db_57
1705784715,6,8,8,6,8,8,8,8,8,8,8,8,8,6,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0
1705784730,10,15,15,10,21,21,21,21,21,21,21,21,21,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
1705784745,10,16,16,10,9,9,9,9,9,9,9,9,9,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,0,0,0,0,0,0
1705784760,10,16,16,10,22,22,22,22,22,22,22,22,22,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
1705784775,10,12,12,10,13,13,13,13,13,13,13,13,13,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
1705784790,10,20,20,10,20,20,20,20,20,20,20,20,20,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0
1705784805,10,15,15,10,9,9,9,9,9,9,9,9,9,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
1705784820,10,21,21,10,15,15,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
1705784835,10,9,9,10,15,15,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,10,10,10,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0,0,0
1705784850,10,12,12,10,17,17,17,17,17,17,17,17,17,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,21,21,21,21,21,21,21,21,21,21,21,21,21,21,46,0,0,0,0,0,0,0,0
1705784865,10,16,16,10,12,12,12,12,12,12,12,12,12,10,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0
1705784880,10,19,19,10,16,16,16,16,16,16,16,16,16,10,10,37,28,10,10,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
1705784895,10,10,10,10,22,22,22,22,22,22,22,22,22,10,16,67,50,16,16,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,0,0,0,0,0,0,0,0
1705784910,10,15,15,10,11,11,11,11,11,11,11,11,11,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,69,0,0,0,0,0,0,0,0
1705784925,10,21,21,10,13,13,13,13,13,13,13,13,13,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0,0,0
1705784940,10,14,14,10,15,15,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
1705784955,10,9,9,10,19,19,19,19,19,19,19,19,19,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,0,0,0,0,0,0,0,0
1705784970,10,20,20,10,14,14,14,14,14,14,14,14,14,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
1705784985,10,15,15,10,16,16,16,16,16,16,16,16,16,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
1705785000,10,16,16,10,17,17,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,0,0,0,0,0,0,0,0
1705785015,10,16,16,10,14,14,14,14,14,14,14,14,14,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0,0,0
1705785030,10,18,18,10,13,13,13,13,13,13,13,13,13,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0
1705785045,10,11,11,10,16,16,16,16,16,16,16,16,16,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0
1705785060,10,16,16,10,14,14,14,14,14,14,14,14,14,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0,0,0,0,0
1705785075,10,15,15,10,14,14,14,14,14,14,14,14,14,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0
1705785090,10,15,15,10,15,15,15,15,15,15,15,15,15,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0
1705785105,10,13,13,10,18,18,18,18,18,18,18,18,18,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0,0,0,0,0
1705785120,10,15,15,10,15,15,15,15,15,15,15,15,15,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0,0,0,0,0
1705785135,10,17,17,10,18,18,18,18,18,18,18,18,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,19,19,19,19,18,18,18,18,18,18,18,18,46,0,0,0,0,0,0,0,0
1705785150,10,16,16,10,8,8,8,8,8,8,8,8,8,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,8,8,8,8,8,8,9,9,9,9,9,9,9,9,23,0,0,0,0,0,0,0,0
1705785165,10,17,17,10,19,19,19,19,19,19,19,19,19,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,18,18,18,18,18,18,17,17,17,17,17,17,17,17,69,0,0,0,0,0,0,0,0
