time,user_1,front-end_2,front-end_3,front-end_4,front-end_5,front-end_6,user_7,user_8,orders_9,front-end_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,front-end_21,user_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,catalogue_30,front-end_31,catalogue_32,payment_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,user_48,carts_49,user-db_50,user-db_51,user-db_52,user-db_53,user-db_54,user-db_55,user-db_56
1705786305,20,15,5,5,5,5,5,5,5,7,5,5,5,5,5,15,15,5,10,5,4,4,4,4,4,4,4,4,4,5,5,2,2,4,7,7,7,7,7,7,7,6,6,6,6,6,6,2,0,0,0,0,0,0,0,0
1705786320,69,52,18,18,17,17,17,17,17,12,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,18,18,10,10,18,11,11,11,11,11,11,11,12,12,12,12,12,12,10,46,0,0,0,0,0,0,0
1705786335,59,44,14,14,15,15,15,15,15,17,15,15,15,15,15,45,45,15,30,15,12,12,12,12,12,12,12,12,12,14,14,10,10,14,17,17,17,17,17,17,17,17,17,17,17,17,17,10,46,0,0,0,0,0,0,0
1705786350,56,42,14,14,14,14,14,14,14,19,14,14,14,14,14,42,42,14,28,14,22,22,22,22,22,22,22,22,22,14,14,10,10,14,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0,0,0,0,0,0,0
1705786365,84,63,21,21,21,21,21,21,21,14,21,21,21,21,21,63,63,21,42,21,13,13,13,13,13,13,13,13,13,17,17,10,10,21,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,0,0,0
1705786380,48,36,12,12,12,12,12,12,12,10,12,12,12,12,12,36,36,12,24,12,11,11,11,11,11,11,11,11,11,20,20,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0,0,0,0,0
1705786395,44,33,11,11,11,11,11,11,11,17,11,11,11,11,11,33,33,11,22,11,19,19,19,19,19,18,18,18,18,10,10,10,10,11,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0,0,0,0
1705786410,64,48,16,16,16,16,16,16,16,19,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,14,14,14,14,14,14,10,10,16,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0,0,0,0,0,0,0
1705786425,72,54,18,18,18,18,18,18,18,10,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,16,16,10,10,18,11,11,11,11,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
1705786440,60,45,15,15,15,15,15,15,15,17,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,19,19,10,10,15,18,18,18,18,19,19,18,18,18,18,18,18,18,10,46,0,0,0,0,0,0,0
