POD,NODE_NAME
carts-795df7fd79-gzsgp,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
carts-db-5d88c7dddc-hdmpv,gke-gke-cluster-ss-default-pool-aa4d7ed2-ttzl
catalogue-6999fd64d9-nsn8d,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
catalogue-db-554cbfd749-x67xj,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
front-end-75b898f665-59cg5,gke-gke-cluster-ss-default-pool-aa4d7ed2-ttzl
loadgenerator-564d55cfcb-fx5kj,gke-gke-cluster-ss-default-pool-aa4d7ed2-ttzl
orders-688f957476-4hx2g,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
orders-db-7c75b66575-czbm6,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
payment-766c44b5dc-kghpj,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
queue-master-5f47847cd-wl8qv,gke-gke-cluster-ss-default-pool-aa4d7ed2-ttzl
rabbitmq-5dcbdd5997-8bfcg,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
session-db-6f9cdc9746-dx2kz,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
shipping-6d4449fd75-kbsz7,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
user-77c9d4d7cf-555zz,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
user-db-57c446cdbc-zw5vv,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
