time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,front-end_30,catalogue_31,user_32,front-end_33,front-end_34,user_35,front-end_36,front-end_37,front-end_38,front-end_39,front-end_40,catalogue_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,payment_47,user_48,carts_49,user-db_50,user_51,orders-db_52,orders_53,user_54,carts_55,user_56
1705781505,6,6,6,6,6,6,6,6,6,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,2,10,10,9,9,9,9,9,9,9,9,9,9,9,6,6,2,2,23,0,0,0,0,0,0,0
1705781520,8,8,8,8,8,8,8,8,8,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,7,5,7,7,8,8,8,8,8,8,8,8,8,8,8,20,20,5,5,23,0,0,0,0,0,0,0
1705781535,15,15,15,15,15,15,15,15,15,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,11,7,11,11,11,11,11,11,11,11,11,11,11,11,11,17,17,5,7,0,0,0,0,0,0,0,0
1705781550,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,36,36,12,24,12,21,10,20,20,20,20,20,20,20,20,20,20,20,20,20,11,11,10,10,0,0,0,0,0,0,0,0
1705781565,17,17,17,17,17,17,17,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,54,54,18,36,18,16,10,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,10,10,0,0,0,0,0,0,0,0
1705781580,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,10,10,0,0,0,0,0,0,0,0
1705781595,12,12,12,12,12,12,12,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,10,10,23,0,0,0,0,0,0,0
1705781610,22,22,22,22,22,22,22,22,22,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,10,10,0,0,0,0,0,0,0,0
1705781625,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,10,10,0,0,0,0,0,0,0,0
1705781640,10,10,10,10,10,10,10,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,10,10,23,0,0,0,0,0,0,0
1705781655,20,20,20,20,20,20,20,20,20,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,10,10,0,0,0,0,0,0,0,0
1705781670,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,10,0,0,0,0,0,0,0,0
1705781685,11,11,11,11,11,11,11,11,11,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,11,10,11,11,11,11,11,11,10,10,10,10,10,10,10,19,19,10,10,23,0,0,0,0,0,0,0
1705781700,18,18,18,18,18,18,18,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,14,10,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,10,10,46,0,0,0,0,0,0,0
