time,catalogue_1,front-end_2,user_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,front-end_17,front-end_18,front-end_19,user_20,user_21,orders_22,payment_23,orders_24,shipping_25,queue-master_26,queue-master_27,queue-master_28,queue-master_29,queue-master_30,front-end_31,front-end_32,catalogue_33,payment_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,carts_51,user-db_52
1705783095,4,4,4,3,3,3,3,3,3,3,3,3,3,12,9,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,2,2,5,5,5,5,5,5,4,4,4,4,4,4,4,4,0,0,0,0
1705783110,14,14,10,25,25,25,25,25,25,25,25,25,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,14,14,14,14,14,14,15,15,15,15,15,15,15,15,0,0,0,0
1705783125,14,14,10,12,12,12,12,12,12,12,12,12,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0
1705783140,23,23,10,13,13,13,13,13,13,13,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0
1705783155,13,13,10,18,18,18,18,18,18,18,18,18,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0
1705783170,11,11,10,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,46,0,0,0
1705783185,16,16,10,11,11,11,11,11,11,11,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705783200,17,17,10,21,21,21,21,21,21,21,21,21,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705783215,13,13,10,12,12,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,0
1705783230,16,16,10,13,13,13,13,13,13,13,13,13,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705783245,17,17,10,13,13,13,13,13,12,12,12,12,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,6,12,6,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,69,0,0,0
1705783260,11,11,10,14,14,14,14,14,15,15,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,0,0,0,0
1705783275,16,16,10,19,19,19,19,19,19,19,19,19,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,23,0,0,0
1705783290,12,12,10,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,0,0,0
1705783305,17,17,10,13,13,13,13,13,13,13,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0
1705783320,21,21,10,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0
1705783335,10,10,10,17,17,17,17,17,17,17,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0
1705783350,14,14,10,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,69,0,0,0
1705783365,17,17,10,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705783380,14,14,10,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0
