time,front-end_1,payment_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,catalogue_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,front-end_20,front-end_21,orders_22,payment_23,front-end_24,orders_25,shipping_26,catalogue_27,queue-master_28,queue-master_29,front-end_30,front-end_31,queue-master_32,queue-master_33,queue-master_34,front-end_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,user_44,front-end_45,front-end_46,user_47,front-end_48,carts_49,carts_50,carts_51,carts_52,carts_53,carts_54,carts_55,carts_56,carts_57,user-db_58,user_59
1705653915,10,10,15,60,45,15,15,15,15,15,15,16,16,16,16,16,16,10,12,11,11,15,15,11,15,15,11,15,15,11,11,45,45,15,30,15,15,15,15,15,15,8,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
1705653930,15,10,11,44,33,11,11,11,11,11,11,15,15,11,11,11,11,10,12,13,13,10,10,13,10,10,13,10,10,13,13,30,30,10,20,10,14,14,14,14,14,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0
1705653945,12,10,12,48,36,12,12,12,12,12,12,11,11,16,16,16,16,10,10,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0
1705653960,17,10,11,44,33,11,11,11,11,11,11,12,12,9,9,9,9,10,11,16,16,11,11,16,11,11,16,11,11,16,16,33,33,11,22,11,10,10,10,10,10,10,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0
1705653975,9,10,14,56,42,14,14,14,14,14,14,9,9,14,14,14,14,10,19,10,10,14,14,10,14,14,10,14,14,10,10,42,42,14,28,14,10,10,10,10,10,10,9,9,9,9,9,9,23,0,0,0,0,0,0,0,0,0,0
1705653990,13,10,16,64,48,16,16,16,16,16,16,19,19,14,14,14,14,10,9,14,14,15,15,14,15,15,14,15,15,14,14,45,45,15,30,15,16,16,16,16,16,10,13,13,13,13,13,13,46,0,0,0,0,0,0,0,0,0,0
1705654005,12,10,15,60,45,15,15,15,15,15,15,12,12,9,9,9,9,10,13,12,12,10,10,12,10,10,12,10,10,12,12,30,30,10,20,10,14,14,14,14,14,10,12,12,12,12,12,12,23,0,0,0,0,0,0,0,0,0,0
1705654020,15,10,11,44,33,11,11,11,11,11,11,12,12,17,17,17,17,10,13,13,13,14,14,13,14,14,13,14,14,13,13,42,42,14,28,14,13,13,13,13,13,10,16,16,16,16,16,16,23,0,0,0,0,0,0,0,0,0,0
1705654035,12,10,10,40,30,10,10,10,10,10,10,14,14,13,13,13,13,10,13,11,11,13,13,11,13,13,11,13,13,11,11,39,39,13,26,13,11,11,11,11,11,10,11,11,11,11,11,11,23,0,0,0,0,0,0,0,0,0,0
1705654050,14,10,15,60,45,15,15,15,15,15,15,7,7,9,9,9,9,10,13,15,15,14,14,15,14,14,15,14,14,15,15,42,42,14,28,14,11,11,11,11,11,10,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0
1705654065,13,10,13,52,39,13,13,13,13,13,13,19,19,12,12,12,12,10,13,13,13,14,14,13,14,14,13,14,14,13,13,42,42,14,28,14,10,10,10,10,10,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705654080,12,10,12,48,36,12,12,12,12,12,12,13,13,14,14,14,14,10,11,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,16,16,16,16,16,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0
1705654095,10,10,10,40,30,10,10,10,10,10,10,9,9,14,14,14,14,10,12,12,12,11,11,12,11,11,12,11,11,12,12,33,33,11,22,11,13,13,13,13,13,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
1705654110,12,10,11,44,33,11,11,11,11,11,11,9,9,12,12,12,12,10,11,13,13,11,11,13,11,11,13,11,11,13,13,33,33,11,22,11,13,13,13,13,13,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0
