time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,user_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,front-end_18,front-end_19,catalogue_20,front-end_21,front-end_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,catalogue_29,front-end_30,front-end_31,user_32,user_33,orders_34,payment_35,orders_36,shipping_37,queue-master_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,front-end_43,front-end_44,payment_45,user_46,catalogue_47,front-end_48,carts_49,user-db_50
1705789905,5,5,5,5,5,5,10,10,10,10,10,5,10,10,10,5,10,5,5,5,5,5,5,3,12,9,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,2,2,4,4,0,0
1705789920,24,24,24,24,24,24,17,17,17,17,17,24,17,17,17,24,17,24,24,24,24,24,24,14,56,42,14,14,5,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,5,5,9,9,0,0
1705789935,8,8,8,8,8,8,11,11,11,11,11,8,11,11,11,8,11,8,8,8,8,8,8,23,92,69,23,23,5,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,5,5,14,14,0,0
1705789950,15,15,15,15,15,15,18,18,18,18,18,15,18,18,18,15,18,15,15,15,15,15,15,9,36,27,9,9,5,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,5,5,22,22,0,0
1705789965,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,72,54,18,18,10,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,7,9,12,12,0,0
1705789980,17,17,17,17,18,18,13,13,13,13,13,18,13,13,13,18,13,18,18,18,18,18,18,16,64,48,16,16,10,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,17,17,0,0
1705789995,14,14,14,14,14,14,16,16,16,16,16,14,16,16,16,14,16,14,14,14,14,14,14,16,64,48,16,16,10,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,18,18,23,0
1705790010,16,16,16,16,16,16,17,17,17,17,17,16,17,17,17,16,17,16,16,16,16,16,16,16,64,48,16,16,10,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,14,14,0,0
1705790025,12,12,12,12,12,12,13,13,13,13,13,12,13,13,13,12,13,12,12,12,12,12,12,15,60,45,15,15,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,46,0
1705790040,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,44,33,11,11,10,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,15,15,46,0
1705790055,14,14,14,14,14,14,13,13,13,13,13,14,13,13,13,14,13,14,14,14,14,14,14,18,72,54,18,18,10,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,17,17,0,0
