POD,NODE_NAME
carts-795df7fd79-chtk8,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
carts-db-5d88c7dddc-2hjqr,gke-gke-cluster-ss-default-pool-aa4d7ed2-ttzl
catalogue-6999fd64d9-cp6x7,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
catalogue-db-554cbfd749-krmcw,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
front-end-75b898f665-chdh9,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
loadgenerator-564d55cfcb-ttrqr,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
orders-688f957476-h764g,gke-gke-cluster-ss-default-pool-aa4d7ed2-ttzl
orders-db-7c75b66575-kdcn7,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
payment-766c44b5dc-dgrtq,gke-gke-cluster-ss-default-pool-aa4d7ed2-ttzl
queue-master-5f47847cd-whr4d,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2
rabbitmq-5dcbdd5997-mphl6,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
session-db-6f9cdc9746-2p7ts,gke-gke-cluster-ss-default-pool-aa4d7ed2-ttzl
shipping-6d4449fd75-jf5c9,gke-gke-cluster-ss-default-pool-aa4d7ed2-ttzl
user-77c9d4d7cf-jzhtz,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
user-db-57c446cdbc-pskdd,gke-gke-cluster-ss-default-pool-aa4d7ed2-fayo
